id,town_short,pueblo,town_modern_official,gps_coordinates
t00001,Ayoquezco,"Ayoquezco, Oaxaca, México","Ayoquezco, Oaxaca, Mexico","[-96.84187939999998, 16.6861497]"
t00002,Oaxaca de Juárez,"Oaxaca de Juárez, Oaxaca, México","Oaxaca de Juárez, Oaxaca, Mexico","[-96.7233419, 17.0680249]"
t00003,San Antonio Ocotlán,"San Antonio Ocotlán, Oaxaca, México","San Antonio Ocotlán, Oaxaca, Mexico","[-98.165343, 16.6479088]"
t00004,San Bartholomé Coyotepec,"San Bartholomé Coyotepec, Oaxaca, México","San Bartholomé Coyotepec, Oaxaca, Mexico","[-96.7065012, 16.9585391]"
t00005,San Francisco del Valle,"San Francisco del Valle, Oaxaca, México","San Francisco del Valle, Oaxaca, Mexico","[-96.599484, 17.0116168]"
t00006,San Jerónimo Tlacochahuaya,"San Jerónimo Tlacochahuaya, Oaxaca, México","San Jerónimo Tlacochahuaya, Oaxaca, Mexico","[-96.5815834326072, 17.0077534727461]"
t00007,San Juan del Río,"San Juan del Río, Oaxaca, México","San Juan del Río, Oaxaca, Mexico","[-96.1639199, 16.8837432]"
t00008,San Mateo Macuilxóchitl,"San Mateo Macuilxóchitl, Oaxaca, México","San Mateo Macuilxóchitl, Oaxaca, Mexico","[-96.54044529999999, 17.0162208]"
t00009,San Miguel Etla,"San Miguel Etla, Oaxaca, México","San Miguel Etla, Oaxaca, Mexico","[-96.78139550000003, 17.2123639]"
t00010,San Miguel Talistaca,"San Miguel Talistaca, Oaxaca, México","San Miguel Talistaca, Oaxaca, Mexico","[-96.6361253, 17.0454457]"
t00011,San Pedro el Alto,"San Pedro el Alto, Oaxaca, México","San Pedro el Alto, Oaxaca, Mexico","[-96.4722989, 16.0362827]"
t00012,San Sebastián Teitipac,"San Sebastián Teitipac, Oaxaca, México","San Sebastián Teitipac, Oaxaca, Mexico","[-96.6137996, 16.9520218]"
t00013,Santa Catarina Quiané,"Santa Catarina Quiané, Oaxaca, México","Santa Catarina Quiané, Oaxaca, Mexico","[-96.73920570000001, 16.879985]"
t00014,Santa María La Asunción Etla,"Asunción Etla, Oaxaca, México","Asunción Etla, Oaxaca, Mexico","[-96.8193986, 18.1080748]"
t00015,Santo Domingo del Valle,"Santo Domingo del Valle (Villa Díaz Ordaz), Oaxaca, México","Santo Domingo del Valle (Villa Díaz Ordaz), Oaxaca, Mexico","[-96.720969, 17.0738027]"
t00016,Santo Domingo Etla,"Santo Domingo Etla, Oaxaca, México","Santo Domingo Etla, Oaxaca, Mexico","[-96.801117, 17.1921075]"
t00017,Teotitlán del Valle,"Teotitlán del Valle, Oaxaca, México","Teotitlán del Valle, Oaxaca, Mexico","[-96.51844919999996, 17.0302532]"
t00018,Theozapotlan,"Theozapotlan, Oaxaca, México","Theozapotlan, Oaxaca, Mexico","[-96.7499775, 16.9524083]"
t00019,Tlacolula de Matamoros,"Tlacolula de Matamoros, Oaxaca, México","Tlacolula de Matamoros, Oaxaca, Mexico","[-96.478268, 16.9550256]"
t00020,Villa de Zaachila,"Villa de Zaachila, Oaxaca, México","Villa de Zaachila, Oaxaca, Mexico","[-96.7529926, 16.944817]"
